




============================================================================
Função: Griewangk
============================================================================
P = 16;   s =  1;   std1 =  8,00;   tau =  3,00  -->  NFE:   89581  -->  fx: 2,341207063961440E-02  -->  sd:1,793493120711960E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   89324  -->  fx: 2,377133623286460E-02  -->  sd:1,870919446452480E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  3,00  -->  NFE:   85772  -->  fx: 2,412172023587390E-02  -->  sd:2,084081658476400E-02
P = 16;   s =  1;   std1 =  4,00;   tau =  3,00  -->  NFE:   91368  -->  fx: 2,418326371470160E-02  -->  sd:1,790160616915430E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:   74601  -->  fx: 2,425834863299000E-02  -->  sd:2,602043061661280E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   81342  -->  fx: 2,442880778910310E-02  -->  sd:2,199400870552550E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:   84509  -->  fx: 2,451371152604120E-02  -->  sd:1,875015952542850E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:   88864  -->  fx: 2,499828095982290E-02  -->  sd:2,299156764765970E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   80221  -->  fx: 2,508473166727130E-02  -->  sd:2,464692541312400E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   90370  -->  fx: 2,524857982650400E-02  -->  sd:1,879760383511350E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  5,00  -->  NFE:   84821  -->  fx: 2,582364218922750E-02  -->  sd:2,063044304562940E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   74751  -->  fx: 2,598392432227900E-02  -->  sd:2,272845598203100E-02
P = 16;   s =  2;   std1 =  4,00;   tau =  3,00  -->  NFE:   89185  -->  fx: 2,647812661475910E-02  -->  sd:2,166402620991090E-02
P = 16;   s =  1;   std1 =  4,00;   tau =  3,50  -->  NFE:   86874  -->  fx: 2,681169294337280E-02  -->  sd:1,904047461919460E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:   92106  -->  fx: 2,697920905568830E-02  -->  sd:2,035239564810730E-02
P = 16;   s =  2;   std1 =  4,00;   tau =  5,00  -->  NFE:   85440  -->  fx: 2,713111398858350E-02  -->  sd:2,096158441779870E-02
