




============================================================================
Função: Griewangk
============================================================================
P = 12;   s = 10;   porc =  5,00;   tau =  0,50  -->  NFE:  100016  -->  fx: 2,287261140378540E+00  -->  sd:8,758654488283490E-01
P =  4;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 2,359465512895550E+00  -->  sd:5,143016689885400E-01
P = 12;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100016  -->  fx: 2,588826553553050E+00  -->  sd:1,200814503210770E+00
P =  4;   s = 10;   porc = 50,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 2,926209275780930E+00  -->  sd:1,210623411493400E+00
P =  4;   s =  2;   porc =  5,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 3,160300948049140E+00  -->  sd:1,077053761953280E+00
P =  4;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 3,474343375535430E+00  -->  sd:5,387457649790370E-01
P =  4;   s = 10;   porc =  5,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 3,974088026445000E+00  -->  sd:1,825758312261640E+00
P = 12;   s = 10;   porc = 10,00;   tau =  0,50  -->  NFE:  100016  -->  fx: 5,926613622688140E+00  -->  sd:5,445865717193310E+00
P =  4;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 6,692832913948410E+00  -->  sd:1,822842638697810E+00
P =  4;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 9,597710225788230E+00  -->  sd:3,386355412584260E+00
P =  4;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,158973511747920E+01  -->  sd:4,339066010253310E+00
P =  4;   s = 10;   porc = 10,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,171445665671660E+01  -->  sd:7,803769776856660E+00
P =  4;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,187828767332240E+01  -->  sd:5,405472170061640E+00
P = 12;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100016  -->  fx: 1,426896345032540E+01  -->  sd:1,190796702783680E+01
P =  4;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100036  -->  fx: 1,624540266288760E+01  -->  sd:6,697475305598690E+00
P =  4;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 2,076151374539900E+01  -->  sd:8,476763561123560E+00
P =  4;   s = 10;   porc = 50,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 2,257020911206000E+01  -->  sd:1,621299557831960E+01
P =  4;   s = 10;   porc =  0,10;   tau =  2,00  -->  NFE:  100036  -->  fx: 2,346910061234040E+01  -->  sd:8,993169886355050E+00
P =  4;   s = 10;   porc =  0,10;   tau =  2,50  -->  NFE:  100036  -->  fx: 2,493184443511380E+01  -->  sd:9,545343544799380E+00
