




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
12000;0,3854968934300951;2,4203457820646266;0,2780232084049488;3,054614653756082;
14000;0,06899568423299804;1,3537365553416119;0,08042080861665886;1,571369947301746;
16000;0,011101770260838962;0,5655722763801718;0,00495568962988111;0,8571291634636659;
18000;0,002200456118356886;0,1996511582958953;0,0019011735140364472;0,3745237720693934;
20000;0,0007479212669557533;0,06639346427112391;0,0006831342749392455;0,08369782902268588;
25000;3,7405916052879465E-05;0,0003792342916270286;5,966904711911525E-05;0,0014690517500484113;
30000;2,8245223758105455E-06;6,693330331319913E-06;7,004831009727042E-06;1,3180319640238025E-05;
35000;1,8065445548387515E-07;7,60496170926217E-08;3,5997975063040143E-07;2,8026720171325793E-07;
40000;1,3354834385026493E-07;1,862968179722202E-09;5,553535107338803E-08;2,892905195395201E-08;
45000;6,77521185821206E-08;7,108149624457383E-10;2,2572355273808852E-08;7,0215675052054395E-09;
50000;1,8439623516997016E-08;5,752895049226936E-10;9,747128526527149E-09;6,342115277391258E-10;
55000;1,7828740972447577E-08;5,207945186214147E-10;7,443680782870388E-09;5,10924724750339E-10;
60000;1,1965696078419796E-08;4,822270582849342E-10;5,453111828757073E-09;4,638156525516024E-10;
65000;5,156026805508418E-09;4,79496797822776E-10;4,923387653121836E-09;4,6078696414042497E-10;
70000;4,435760025955915E-09;4,6436037237640447E-10;4,396011998863969E-09;4,4296717405245546E-10;
75000;4,365057826305474E-09;4,551318433243523E-10;4,315023627299297E-09;4,3123646875642405E-10;
80000;3,8328236584561635E-09;4,5083226041242597E-10;4,313942714162522E-09;4,2541596911860323E-10;
85000;3,559246497530921E-09;4,40981118288164E-10;4,070960812896374E-09;4,201748282639528E-10;
90000;3,2592006427023536E-09;4,3676537941905733E-10;2,575300861451524E-09;4,163629441222838E-10;
95000;3,133886306017075E-09;4,311807799695089E-10;2,390794939799434E-09;4,1359173863497747E-10;
100000;3,0788275040549707E-09;4,1238008563482255E-10;2,2672919541832924E-09;4,0588039595945703E-10;











============================================================================
Função: Beale
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
meanNFE;100008;100008;100008;100008;
meanFX;0,038079169229701955;0,5391861742933554;0,03809633717554623;0,5582257547640592;
FXatual;0,038079169229701955;0,5391861742933554;0,03809633717554623;0,5582257547640592;
medianFX;7,228814515567451E-12;1,3370259110430643E-09;1,520292607658424E-11;1,0557482773042426E-09;
sdFX;0,16809774414857703;1,4821618978664926;0,168093790409537;1,479947935389194;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
5;1499,9858333824109;4938,189593340883;2626,436254148174;4881,772005543898;
50;9,821517924295232;518,6522663226098;11,645589936956657;770,6303023485107;
100;2,9124779440776165;55,87461887162162;2,7898435653417732;106,39184772947242;
500;0,5611475046931511;1,9051605193827705;1,2479271022405638;1,1538333469640087;
1000;0,505985556784683;1,6750120395508272;1,1547708209625922;0,9742322299663859;
1500;0,491177958619351;1,554607754903885;0,9141665242628877;0,9120682570676737;
2000;0,46503316913164106;1,2974816757967154;0,8854448380406478;0,8595818094347519;
2500;0,44894362232296353;1,2453283268637352;0,6563831746715817;0,8155623317447687;
3000;0,4428469967019084;1,209701810368446;0,3995030010965508;0,7697558848707569;
3500;0,43612849242943;1,172152616744181;0,37942794988028006;0,7362250129512097;
4000;0,42873249626244514;1,1400512186434262;0,3609854454066169;0,7065336272057102;
4500;0,42379112437367816;1,112089806527376;0,34868128818824073;0,6788686507390573;
5000;0,40137402776254805;1,0919141594262753;0,29677619722350623;0,6526059759594933;
6000;0,3925568293149107;1,0624600896551986;0,27365763910023627;0,6206463111131468;
7000;0,3895721761746701;1,041342882917737;0,26017034220349144;0,6005025774140806;
8000;0,15936932832326361;1,0256799502365204;0,2303293856319772;0,5891255465455429;
9000;0,1358989038850442;1,0169320865551053;0,22257519955348082;0,5820100599393611;
10000;0,13427522033195632;1,0120740068457368;0,2184266227396745;0,5784085171102447;
12000;0,1341147284084801;1,0083384681773901;0,21235286112000504;0,5772653965450325;
14000;0,10715167108869399;1,0082919510203807;0,2103363310430772;0,5772653537711759;
16000;0,10175238965216689;1,0082919385858353;0,20945334972677693;0,577265353459679;
18000;0,09837024435417442;1,008291932694711;0,20945299620965;0,577265347538203;
20000;0,09648054560194819;1,0082919322175665;0,19051648456154796;0,5772653460139678;
25000;0,09519800548630482;1,0082919187710284;0,17137447262366226;0,5772653429198057;
30000;0,09519798885501954;1,0082919153119554;0,1713736006911738;0,5772653404019432;
35000;0,05810351977213498;1,008291914906694;0,15233547714353754;0,5772653403578588;
40000;0,057121788804395356;1,0082919138661992;0,13329830136521165;0,5772653396863611;
45000;0,0571188435411347;1,0082919127429228;0,1332982905758222;0,5582257585764527;
50000;0,05711880017810529;0,7737393062117468;0,07798121412206029;0,5582257574226747;
55000;0,0571187932734334;0,7737390417763244;0,05713740758769638;0,5582257565902377;
60000;0,057118793244802;0,7737390415404715;0,057137013955865866;0,5582257559103727;
65000;0,05711878243439581;0,7737390413718853;0,03810882887532787;0,558225755805755;
70000;0,05711875526964209;0,5391861769258665;0,03809836899171609;0,5582257556223122;
75000;0,03808803583446243;0,5391861748762332;0,03809634243788453;0,5582257555925161;
80000;0,03807917266413573;0,539186174732315;0,03809633855170618;0,5582257553572141;
85000;0,038079172285160105;0,5391861746798066;0,03809633831402331;0,5582257549537454;
90000;0,03807917097110619;0,5391861745248978;0,03809633723341901;0,558225754919534;
95000;0,03807916923209943;0,5391861743215115;0,03809633720073826;0,5582257549142376;
100000;0,038079169229701955;0,5391861742933554;0,03809633717554623;0,5582257547640592;



Execution Time: 180595 ms
