




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
5;78,24087800455645;78,24087800455645;78,24087800455645;78,24087800455645;78,24087800455645;78,24087800455645;78,24087800455645;78,24087800455645;78,24087800455645;78,24087800455645;
50;23,583447785529998;34,15383832787667;19,874664479016467;33,22995802282271;32,08499674832334;25,67768326392646;14,486014839699996;17,751629567372714;15,727985166872921;24,86416749193334;
100;2,7966780953231263;4,777476006143334;2,3541586701831267;2,1053725752897927;2,112623720943334;3,3669493986729173;1,1210203168029165;1,3131373456791666;1,809322511602917;1,9313944024137506;
500;0,38377435236625035;0,5138216606993754;0,3843599943495832;0,5670987010166666;0,781566565299583;0,6029551459204168;0,6653339671395835;0,5335079751406246;0,6654091522310417;1,0016579913675001;
1000;0,12911022565375;0,26165035304270806;0,08783292362979159;0,18581867020020834;0,46083148625958337;0,2847694655110419;0,3216541527697918;0,43256727325770805;0,5397644394177089;0,792694300616875;
1500;0,047208150694583145;0,0791353043024998;0,07362771815270826;0,11050972533645845;0,2158960894502081;0,13684869900374996;0,3122406405300001;0,39791851787416627;0,3884213008668753;0,7191220478097918;
2000;0,03513750501166661;0,0277688363993749;0,0426878124266665;0,06240544902020862;0,11058607126041674;0,07283520619687509;0,2244178738635416;0,3361864810872913;0,32977371472354167;0,36025541780645837;
2500;0,03433812556770826;0,02645888990666652;0,03197441758291648;0,04746644782625009;0,07095059297708349;0,06023757893437516;0,17217423892333314;0,2710577027072914;0,13610812005020828;0,21739469828000002;
3000;0,025677515377083255;0,021929854167083276;0,0237690753558333;0,022696738672916737;0,02990252032000012;0,027528056993958435;0,12878859132020823;0,19378209805708332;0,12719431851062504;0,18395363973666667;
3500;0,02353712221374995;0,02013005101687487;0,01835614309937494;0,017949347219791748;0,01918076381999994;0,02506595237395844;0,10089100060979161;0,17120583244041654;0,12023756139041665;0,17590787371687502;
4000;0,01568601131041663;0,014740408033333232;0,0153022694164583;0,016974166200208373;0,014007082786666637;0,015220253990625088;0,057010249043124926;0,14767438504041666;0,08557413477354167;0,15123807600020825;
4500;0,013688142097083293;0,01361399864687497;0,014233701926666618;0,013988525933750022;0,011089329266874988;0,005145218493958404;0,05228807459312494;0,10972338963354164;0,0843454635935417;0,09383656365020823;
5000;0,01028187585333336;0,012612660643749971;0,010984330643333292;0,012694309060625035;0,008955429736666683;0,004648498490625061;0,02000149458270829;0,10000365388333332;0,08234478768708334;0,06300706904083324;
6000;0,00929780200333338;0,009939417896874936;0,009408002140208392;0,009641590190625096;0,008316921469791615;0,004498192366875064;0,017845637889791637;0,09492296104395842;0,07856914771749991;0,058940316003958215;
7000;0,007223622270000015;0,00956030957041663;0,00872703237708336;0,007194595413749895;0,006750793366666597;0,002721038626458408;0,012149908346249905;0,08839295162000009;0,019490076150833306;0,05848651306041652;
8000;0,0050476434466667115;0,006498047153541646;0,007569096993750034;0,00592491423041656;0,0033520969664583193;0,0023607831900000742;0,010095478526458226;0,06512411488979174;0,01795648016437493;0,058484438640416525;
