




============================================================================
Função: Griewangk
============================================================================
P = 16;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:   94092  -->  fx: 3,314648003698710E-02  -->  sd:2,028129147919760E-02
P =  8;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   93226  -->  fx: 3,324777236348490E-02  -->  sd:2,096236106722650E-02
P = 16;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:   95992  -->  fx: 3,423285622318680E-02  -->  sd:1,973671360350060E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:   97251  -->  fx: 3,443024180789640E-02  -->  sd:1,777065354473140E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   96198  -->  fx: 3,472568494070950E-02  -->  sd:1,983776830992470E-02
P = 16;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:   90895  -->  fx: 3,512317196427620E-02  -->  sd:3,241799337790400E-02
P = 16;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:   89637  -->  fx: 3,560458745455920E-02  -->  sd:2,411582438621970E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   95402  -->  fx: 3,678921607207420E-02  -->  sd:1,982533584651420E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   93283  -->  fx: 3,679156335522350E-02  -->  sd:2,554365163779810E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   93310  -->  fx: 3,688531458899320E-02  -->  sd:2,524157469632860E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:   86680  -->  fx: 3,848239511722570E-02  -->  sd:3,562840762024420E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:   97348  -->  fx: 3,904857726417050E-02  -->  sd:2,494315238956620E-02
P = 16;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:   92962  -->  fx: 4,081487933358000E-02  -->  sd:2,140909950660380E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   99048  -->  fx: 4,082468920404470E-02  -->  sd:2,717821211095630E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 4,305893450018270E-02  -->  sd:8,236384007127500E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   96493  -->  fx: 4,681515672807820E-02  -->  sd:2,596195238222270E-02
P = 16;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 7,142868735312460E-02  -->  sd:7,268851409344930E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   90983  -->  fx: 1,086134607286310E-01  -->  sd:7,831680547948290E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:   98778  -->  fx: 1,448948782034540E-01  -->  sd:1,285092239715930E-01
P = 16;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 1,631855063555730E-01  -->  sd:1,622334208491340E-01
P =  8;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 2,233621416051910E-01  -->  sd:1,831429872723040E-01
P =  8;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100097  -->  fx: 2,237841464294340E-01  -->  sd:1,373767180297650E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 2,766430330940250E-01  -->  sd:1,038129363585020E-01
P = 16;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 2,928465613723650E-01  -->  sd:2,056655643702470E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 3,062217698500960E-01  -->  sd:1,819184662450000E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 3,936995934030990E-01  -->  sd:2,307946143203970E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 5,620492999986570E-01  -->  sd:2,419649656424540E-01
P =  8;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 5,995306504452010E-01  -->  sd:2,936943874516640E-01
P =  8;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 7,316754464178150E-01  -->  sd:4,256009095170630E-01
P =  4;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 4,012682975064520E+00  -->  sd:9,938948086103360E+00
P = 16;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 1,834144855630890E+02  -->  sd:8,879398219222210E+01
P = 16;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 1,439055189169320E+11  -->  sd:7,195275942977750E+11
P = 16;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 3,457593049235920E+12  -->  sd:1,728792667591710E+13
P =  8;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 3,706880864023240E+20  -->  sd:1,853440432011620E+21
P =  8;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 1,507993566617080E+51  -->  sd:7,539967833085410E+51
P =  8;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 4,427727416961860E+56  -->  sd:2,213863708480930E+57
P =  4;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 7,014569010741900E+69  -->  sd:3,507284505370950E+70
P =  4;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,497833573719470E+81  -->  sd:7,489167868594110E+81
P =  4;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 2,361490738582520E+105  -->  sd:1,180745369291260E+106
P =  4;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 2,049512555241270E+130  -->  sd:1,024756277620630E+131
P =  4;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 8,577501563746790E+159  -->  sd:∞
P =  4;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 7,001516697809830E+274  -->  sd:∞
P =  4;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 2,953651197068470E+306  -->  sd:∞





============================================================================
Função: Rastringin
============================================================================
P =  4;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:    7246  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:    7361  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
