




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
============================================================================
Função: Ackley
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
meanNFE;100080;100080;100080;100080;100080;100080;
meanFX;0;2,6075388070978535E-09;8,111874727489976E-10;0;4,231369921114947E-10;4,684542531663283E-10;
FXatual;0;2,6075388070978535E-09;8,111874727489976E-10;0;4,231369921114947E-10;4,684542531663283E-10;
medianFX;0;2,2185027148680092E-09;6,570601840394374E-10;0;4,161613276210119E-10;4,368558848000248E-10;
sdFX;0;1,7193526372387551E-09;5,383842619706274E-10;0;6,411848231416897E-11;1,3482903830768665E-10;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
5;20,933547797026595;20,938077004829942;20,937969013597;20,931866673236364;20,944898525092402;20,940868534050587;
50;20,852806033647486;20,913713367777767;20,915781249999988;20,84970974197821;20,91319987356364;20,91721605314273;
100;20,8354021680212;20,89520122772307;20,90512463525406;20,8347531996705;20,898616125176673;20,902365520253706;
500;10,16132078856804;19,78282736398393;19,87555306361407;13,378977091481834;19,982211846069685;20,052192850567643;
1000;2,60349123424975;19,196339229208302;19,49506918783929;5,105677397045137;19,427591075272368;19,48371377922773;
1500;0,60138522728794;18,565285561380055;19,24771604689288;2,1737623462379143;18,82860483812421;18,98510301234382;
2000;0,06797766347222849;18,161185961865;19,18024928685313;0,9193221105710918;18,54867607459206;18,747888811780324;
2500;0,003158637623063054;17,65510598817024;19,131966123427038;0,26523408356375633;18,219548697210463;18,506757679198994;
3000;0,00022188889615151197;16,53071852845455;19,06090462809336;0,03593245460952579;17,643120251318102;18,09197065600859;
3500;3,0516722752071957E-05;15,543716873345314;19,025525933942838;0,003200575950142692;17,161418108043463;17,81912149354897;
4000;8,609198166809051E-07;13,627832061001069;18,968058220124654;0,00032739752429256086;16,226651854826173;17,29432738457969;
4500;3,248102711239653E-08;12,212446876511857;18,933610362249954;2,963619115341487E-05;15,491745160611552;16,805551945596235;
5000;1,0480104783994192E-09;10,912910220795887;18,891758050010434;2,440603241016248E-06;14,800752150758637;16,271250247447206;
6000;1,1837641977763269E-12;7,385573984775428;18,792673903483404;2,7759583787201337E-08;12,418406253338535;14,608876913207476;
7000;1,199040866595169E-14;4,650448910814211;18,655754478931108;1,4622835387001486E-09;10,001043465369715;12,299907814004962;
8000;3,9968028886505635E-15;2,770204022961481;18,512282243578728;1,7824319797909995E-11;7,85777997416548;10,169740056782675;
9000;2,220446049250313E-15;1,820737885599053;18,373794365492962;2,460254222569347E-13;6,239391049181595;8,341913883069815;
10000;1,0658141036401502E-15;1,1018704889952473;18,166005255928688;6,661338147750939E-15;4,640811119393887;6,486332448557792;
