




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
7000;17,7136392866888;1,6737262429279687;11,789512043101857;6,664212598673191;
8000;16,889967465470953;1,6445236106967362;10,625316977046833;4,717081075389466;
9000;15,981286164199558;1,6442380881727456;9,740235393402118;3,0903569577778165;
10000;15,17513495472068;1,6442038848008207;8,800292419841309;2,309812055912301;
12000;13,622156949731586;1,6391663119439799;7,128315085652112;1,003439898838806;
14000;12,055180930362253;1,6086956486767525;5,526767721945359;0,3358090290093855;
16000;10,77820558861571;1,5397786992381137;4,118394026952982;0,10278085988515201;
18000;9,583310525718145;1,5042329837808206;3,5842627490836922;0,013521488306122365;
20000;8,527470969346792;1,4861129895760692;3,190024620555939;0,00039392692282469;
25000;6,2401783541624125;1,4707786543316805;2,0476448119838158;1,4936991962599678E-06;
30000;4,653151517720138;1,3744780704780353;0,8251886309022817;5,992130301990528E-07;
35000;3,575493295010034;1,263744463979131;0,5926243787815565;5,667996076397231E-07;
40000;2,6729835329711786;1,1726667191636688;0,49014809660600783;5,323516797517413E-07;
45000;1,9806927589438295;1,0771470130471983;0,4247774722467025;5,19671595995419E-07;
50000;1,453361977447141;1,0137281994651426;0,37916113649304256;5,065537765602813E-07;
55000;1,1184471433553294;0,9916289245724242;0,3470761766783794;5,013935770392663E-07;
60000;0,9456097879286037;0,940516309497258;0,29740149101253244;4,979299190210896E-07;
65000;0,8218923180453405;0,9174871127790314;0,2745224396650434;4,900251998662952E-07;
70000;0,7861043126133492;0,890821728580631;0,2665322179204952;4,844945021886815E-07;
75000;0,7660432562820374;0,8350409805480331;0,26258087586307705;4,833555498606756E-07;
80000;0,755559039505897;0,7844272049982033;0,2551144104276718;4,7287343974744544E-07;
85000;0,7497273725910181;0,7404693732681167;0,24862771403954156;4,6963299602964527E-07;
90000;0,7462259371598583;0,7125882158709962;0,23237447770509845;4,651836116664754E-07;
95000;0,7442288914529805;0,7015246229572517;0,22530745119635795;4,636849746475491E-07;
100000;0,741593952180879;0,6373676307120115;0,22301548013652542;4,5762445267882866E-07;











============================================================================
Função: beale
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100022;100022;100002;100008;
meanFX;0,031170508591116475;0,0001763445578124358;2,7551943235967896E-05;4,1847881246955243E-10;
melhorFX;1,6778542554548538E-07;1,6778542554548538E-07;2,328304646437714E-07;5,514634248932137E-13;
piorFX;0,762074142100295;0,001276889977691471;0,0001889167707207075;7,307663665154458E-09;
medianFX;8,919404970794512E-05;6,61586283947904E-05;1,6667850819450712E-05;1,0881245567956705E-10;
sdFX;0,14086436601598382;0,00028475012602464554;3,247210688806369E-05;1,1470283656023957E-09;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;305,05785542420455;305,05785542420455;3416,424888018313;856,2797918339255;
50;8,109503110675984;5,908174320555491;148,55090604826873;299,94751337560183;
100;3,3161682324624424;2,8953144380749016;2,5739099503623866;13,465941032352863;
500;1,0053549833474777;1,3107900426288084;0,1948296039137589;1,668427390844455;
1000;0,6397246977996162;0,9552913012303863;0,13268780758830714;0,9243574807306105;
1500;0,49844445902868195;0,682054289836139;0,066649874265534;0,8254770916485121;
2000;0,39794216590244164;0,40902749409628286;0,06528826798583066;0,7918532834822309;
2500;0,31730232308466383;0,3105261924761676;0,009409845738720637;0,7322390420229253;
3000;0,2703674583217315;0,2456777879577697;0,0016695531535483338;0,5431533662718256;
3500;0,25222254452343357;0,2124679865599266;0,0008757688195664759;0,5183604085388573;
