




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
3500;0,1480183681928003;0,3726843366217581;0,1747656577956868;0,3971838359326613;
4000;0,14110842251922526;0,36597835085841957;0,13665321938107813;0,3017609997168177;
4500;0,10626839762976868;0,27950688018595427;0,1049561906528892;0,3001245654787816;
5000;0,09600245038748306;0,25802422463252195;0,1049561906528892;0,28725825051265624;
6000;0,06315429291478805;0,15667101783266033;0,07515292943840797;0,23191288176159858;
7000;0,04800131277650579;0,11449855681338912;0,04568976553948033;0,1956663525030143;
8000;0,045895756765233046;0,09370564824880206;0,03209318050443055;0,17243470417482262;
9000;0,03885385672327362;0,08928562536434484;0,029510932423695416;0,15798904438658598;
10000;0,03836611939841346;0,08157160214858224;0,021057137855623027;0,15473911276341706;
12000;0,019532524885468566;0,07272258754989966;0,01450206542030879;0,12165901962725771;
14000;0,012656115851848868;0,04676616486296514;0,013293658491226724;0,11406558656715751;
16000;0,005746705084384737;0,027653866656187975;0,011109351386830313;0,11378695552688316;
18000;0,004497620512406366;0,02165223703662332;0,0074413046267965835;0,10609151120870547;
20000;0,004497620512406366;0,02067604243122173;0,00743449322158211;0,08394412076359728;
25000;0,0023614333434689456;0,0037725622728963;0,007147283012994606;0,07388690158161754;
30000;0,0018775643683719603;0,0028936855672924487;0,00663664061455449;0,07347807314005733;
35000;0,0013925638948454303;0,00259382662330012;0,006532908164570539;0,05833593719703236;
40000;0,000949416715040861;0,0022979361557890097;0,006465034330338174;0,05030525132056588;
45000;0,0008705962916154727;0,0018378931911783197;0,0059751423625245305;0,05013486715007733;
50000;0,0008611984828319354;0,0017251324928991517;0,004404748391421424;0,04942480659780005;
55000;0,0007391444605497765;0,0014351901300163332;0,0034745178977411283;0,049411007809113346;
60000;0,0006206444888807607;0,0004495761713457416;0,0030213939895804023;0,049403507935735266;
65000;0,000584591835430644;0,0003931659503080423;0,0024313642249132604;0,049403507935735266;
70000;0,00040352326217027706;0,00015763909405111157;0,00233597625376136;0,04936739252285037;
75000;0,00040105547721515106;0,00015763909405111157;0,0021712923771240182;0,04928286721092209;
80000;0,00038055905263808723;0,00015763909405111157;0,0019883436918724942;0,049221849211671234;
85000;0,00038055905263808723;0,00015763909405111157;0,001324011669366017;0,049221849211671234;
90000;0,00036754025218978443;0,00015763909405111157;0,0012854961789872756;0,049221849211671234;
95000;0,00031723717316977225;0,00015288167013108788;0,0012195142760085562;0,049221849211671234;
100000;0,00029636128679841854;0,00015288167013108788;0,001044102755697178;0,049221849211671234;



Execution Time: 917786 ms
