




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
4500;0,2875395274164351;0,24447421529921876;2,706842463569972;0,6615663552354663;
5000;0,26319047914720334;0,22336693376774278;2,486886357499848;0,6436070535908116;
6000;0,24975225040410706;0,21703476211921796;1,7406649653018436;0,6177197660139488;
7000;0,24659084388841573;0,20753016061004032;1,1552235904775399;0,5930876254294121;
8000;0,2433980848199808;0,20749335978602715;0,9879795137557359;0,5717173503846804;
9000;0,2371817827429261;0,1877629534859724;0,8913552590995318;0,3577104588848568;
10000;0,22992016378897465;0,1870925547360445;0,7629974527814061;0,32922792528249467;
12000;0,18748853391079962;0,1697294193546126;0,6205796911816964;0,30522041936829813;
14000;0,14991015445137193;0,12162084341560817;0,5307620177329446;0,27688423933603606;
16000;0,1277154797123922;0,10632997540364421;0,42759352048752514;0,22320640776954978;
18000;0,12382975019056049;0,09886128983368586;0,4172372009185146;0,20225440150089877;
20000;0,10879956588876473;0,09874467940560151;0,41693794230173103;0,19977240523669956;
25000;0,09334578224991828;0,05299591872367153;0,3459213713829903;0,16876562358096311;
30000;0,09333373105811171;0,03776537262666035;0,2535073188612924;0,15297907438706068;
35000;0,0933324366135887;0,037722776854077454;0,20791016055656064;0,12187785793716431;
40000;0,09333102931195408;0,03772071291696813;0,1722040139198117;0,10662206489994923;
45000;0,060959679870836524;0,022488992983919594;0,1089821037918291;0,09139136740726257;
50000;0,06094663361091077;0,007250542447039962;0,09710803666967546;0,07616559590008952;
55000;0,045709906279896184;0,0072476535515439535;0,09607451388320205;0,06103905718925267;
60000;0,030492543412637893;0,007242125803316231;0,07069074297468024;0,06092680255497536;
65000;0,030473049677238545;0,007241836700334864;0,06297321001498762;0,0456954373983747;
70000;0,030471896701701612;0,007241465741455297;0,060493022443485686;0,0304633776499402;
75000;0,03047151212658573;0,007240395388143886;0,044156977721783654;0,03046333104017926;
80000;0,030471104468313154;0,007239890840408841;0,044156977721783654;0,015231907738902772;
85000;0,030470711750024984;0,007239370356596869;0,042972437670118976;1,1361522938318516E-09;
90000;0,030470611858748112;0,007239334834758276;0,025939523234116225;4,3340447206761723E-10;
95000;0,030470013150724295;0,007239244554231354;0,02318693147858329;3,9607862429756496E-10;
100000;0,030469681327070806;0,007239016427689885;0,021868458606166753;3,6288167789951926E-10;



Execution Time: 218 s
