


============================================================================
============================================================================
TUNING GEO REAL2 P DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P = 10;   s = 10;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,825627385082530E+00  -->  sd:4,911222389267260E-01
P = 10;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,245795177563720E+00  -->  sd:5,277619723777250E-01
P =  5;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,510506563044880E+00  -->  sd:6,232861518109180E-01
P = 10;   s = 10;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,951538186906560E+00  -->  sd:1,268394576085920E+00
P =  5;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 4,120787525056490E+00  -->  sd:1,342375588809430E+00
P =  5;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,142768990715800E+00  -->  sd:2,670623998120160E+00
P =  5;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,980486506700900E+00  -->  sd:3,063970939871930E+00
P =  5;   s = 10;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,242967630850900E+00  -->  sd:2,513720900818860E+00
P =  5;   s = 10;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 8,230348788382620E+00  -->  sd:2,747333317453970E+00
P =  5;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 8,253304284567020E+00  -->  sd:3,105331038905090E+00
P =  5;   s = 10;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,961226875645780E+00  -->  sd:4,546423972195460E+00
P =  5;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,074010269029910E+01  -->  sd:4,287223406565670E+00
P =  5;   s = 10;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,138628844517100E+01  -->  sd:4,166700667731890E+00
P =  5;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,738482984294570E+01  -->  sd:7,760717288317470E+00
P =  5;   s = 10;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,930549954195960E+01  -->  sd:7,033066764377770E+00
P =  5;   s = 10;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,290436067713930E+01  -->  sd:1,276198796964600E+01
P =  5;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,517229279210820E+01  -->  sd:9,555822763193330E+00
P = 10;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,751873164686120E+01  -->  sd:1,483303900342780E+01
P =  5;   s = 10;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,856921350221450E+01  -->  sd:1,049174387712850E+01
P =  5;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,454705572362180E+01  -->  sd:1,009413370626120E+01
P =  5;   s = 10;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,524139168532240E+01  -->  sd:9,803590302110460E+00
P = 10;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,841575998192400E+01  -->  sd:1,202083713127830E+01
P = 10;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,036952628196380E+01  -->  sd:1,036873375693030E+01
P =  5;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,323534185788270E+01  -->  sd:1,575251593908230E+01
P =  5;   s = 10;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,607461563743500E+01  -->  sd:1,703251348222330E+01
P =  5;   s = 10;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,668012227836810E+01  -->  sd:1,477582505068810E+01
P =  5;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,828584650374820E+01  -->  sd:1,155541954545870E+01
P = 10;   s = 10;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,882820968521630E+01  -->  sd:1,396462785002510E+01
P = 10;   s = 10;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 4,991600909549090E+01  -->  sd:1,722498458624630E+01
P = 10;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,041009478121370E+01  -->  sd:1,388202713164000E+01
P =  5;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 5,177859658827300E+01  -->  sd:2,759046598578590E+01
P =  5;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,475688272733940E+01  -->  sd:1,377063209482760E+01
P =  5;   s = 10;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,495026557863980E+01  -->  sd:1,204979952547280E+01
P = 10;   s = 10;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,584189725837510E+01  -->  sd:1,459386794535240E+01
P = 10;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,697205260697690E+01  -->  sd:1,434688864939410E+01
P = 10;   s = 10;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,770801946647920E+01  -->  sd:1,494567137307220E+01
P = 10;   s = 10;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 5,886047692564700E+01  -->  sd:1,610725597323350E+01
P = 10;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,926971992674160E+01  -->  sd:1,791498542811470E+01
P = 10;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,002378744523050E+01  -->  sd:1,703719554626120E+01
P = 10;   s = 10;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,080855629081000E+01  -->  sd:1,438794103218180E+01
P = 10;   s = 10;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,217557757567650E+01  -->  sd:3,339334101290440E+01
P = 10;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,545362395051700E+01  -->  sd:1,768534572007660E+01
P = 10;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,693261885426630E+01  -->  sd:1,735015763046300E+01
P = 10;   s = 10;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,778055330776590E+01  -->  sd:2,268941193178570E+01
P =  5;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 7,836490427072370E+01  -->  sd:3,271342666363600E+01
P = 10;   s = 10;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,081318814785800E+01  -->  sd:2,660895015662140E+01
P = 10;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 8,088075214860620E+01  -->  sd:2,486310403473690E+01
P = 10;   s = 10;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,103014603503660E+02  -->  sd:3,962033656301570E+01
P =  5;   s = 10;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,120430464044570E+02  -->  sd:3,490363712701290E+01
P =  5;   s = 10;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,295918317766360E+02  -->  sd:5,043437511080840E+01
P = 10;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,581157948281060E+02  -->  sd:5,884943850636240E+01
