


============================================================================
============================================================================
TUNING GEO REAL2 P VO
============================================================================
============================================================================










============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  1;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,909928766576820E-01  -->  sd:1,071886739382100E-01
P = 10;   s =  4;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,017157892143500E-01  -->  sd:1,697953501782100E-01
P =  5;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,069019765423130E-01  -->  sd:1,000799027655810E-01
P = 10;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 9,192331238700900E-01  -->  sd:1,442958896221870E-01
P =  5;   s =  1;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,230326333947530E-01  -->  sd:1,343013787856620E-01
P =  5;   s =  4;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,255150150739080E-01  -->  sd:1,064406365983650E-01
P = 10;   s =  4;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 9,291109615884530E-01  -->  sd:1,457505127595030E-01
P =  5;   s =  4;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 9,327618139365880E-01  -->  sd:1,188743417314880E-01
P = 10;   s =  1;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 9,567357408150830E-01  -->  sd:1,430399080897930E-01
P =  5;   s =  1;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,096607797787260E+00  -->  sd:8,691181574490410E-02
P =  5;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,101692361768570E+00  -->  sd:5,568846299984230E-02
P =  5;   s =  1;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,129116940088650E+00  -->  sd:5,247733465521640E-02
P =  5;   s =  1;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,144488687542550E+00  -->  sd:1,050641050310880E-01
P =  5;   s =  1;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,152797649903890E+00  -->  sd:7,945353718687800E-02
P =  5;   s =  1;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,208226191383310E+00  -->  sd:6,811467743606680E-02
P =  5;   s =  4;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,256172241632820E+00  -->  sd:1,308537991443510E-01
P =  5;   s =  1;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,262251316947400E+00  -->  sd:7,338713065470730E-02
P =  5;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,316698180374190E+00  -->  sd:1,437465666392480E-01
P =  5;   s =  1;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,496363274996990E+00  -->  sd:1,653199753588850E+00
P =  5;   s =  1;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,528909845940330E+00  -->  sd:1,565515753905670E-01
P =  5;   s =  4;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,601559376701630E+00  -->  sd:3,366054717583700E-01
P =  5;   s =  1;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,636776309155080E+00  -->  sd:2,244225127253610E-01
P =  5;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,844649138351580E+00  -->  sd:3,452920121909720E-01
P = 10;   s =  4;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,881044687572460E+00  -->  sd:4,817457392453910E-01
P = 10;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,922539143867650E+00  -->  sd:5,585117467896560E-01
P =  5;   s =  1;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,990130833030830E+00  -->  sd:3,487819620411940E-01
P = 10;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,383106468637800E+00  -->  sd:6,338638501488160E-01
P = 10;   s =  1;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,514290143759160E+00  -->  sd:1,009844660670300E+00
P = 10;   s =  1;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,748556976460050E+00  -->  sd:9,039594971224960E-01
P = 10;   s =  4;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 3,186713259296180E+00  -->  sd:1,454493182931620E+00
P =  5;   s =  1;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,799728141937090E+00  -->  sd:9,201817540273190E-01
P =  5;   s =  4;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 4,746274169621080E+00  -->  sd:1,394572715220780E+00
P =  5;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 4,877380407285770E+00  -->  sd:1,916469651485440E+00
P =  5;   s =  1;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,024158127658580E+00  -->  sd:2,946551798064380E+00
P =  5;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,548012622413690E+00  -->  sd:2,758267944980930E+00
P =  5;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,802593303039670E+00  -->  sd:4,250529647086280E+00
P =  5;   s =  1;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,512239558341140E+00  -->  sd:1,698080873115240E+00
P =  5;   s =  4;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 7,663853929727680E+00  -->  sd:4,031832700059880E+00
P =  5;   s =  4;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 8,036901794199070E+00  -->  sd:2,789482217504610E+00
P =  5;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 8,053008705533680E+00  -->  sd:3,214309557977420E+00
P =  5;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,066714242411730E+01  -->  sd:5,212738468666320E+00
P =  5;   s =  4;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,259314337880190E+01  -->  sd:5,468151583907360E+00
