


============================================================================
============================================================================
TUNING GEO REAL2 N VO
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 4,491545098572070E+01  -->  sd:2,187835427572460E+01
P =  5;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,579709104439730E+01  -->  sd:1,380798380949630E+01
P =  5;   s =  4;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,622047519575420E+01  -->  sd:1,433062083801090E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 4,632001429219150E+01  -->  sd:1,232256567553760E+01
P =  5;   s =  1;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,787522325294460E+01  -->  sd:1,391792378749940E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,838408829224500E+01  -->  sd:1,901274003476970E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,206890004250600E+01  -->  sd:1,400898972248250E+01
P =  5;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,302895053858120E+01  -->  sd:1,646657857614400E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 5,338212729773730E+01  -->  sd:1,457655440635530E+01
P =  5;   s =  4;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,376991624950550E+01  -->  sd:1,330858405699110E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,380732099214050E+01  -->  sd:1,624870988126580E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,438814892813860E+01  -->  sd:1,315872145265700E+01
P =  5;   s =  4;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 5,541411698386190E+01  -->  sd:1,620107625715670E+01
P =  5;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,661163612810930E+01  -->  sd:1,742095940080030E+01
P = 10;   s =  4;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,677421348339740E+01  -->  sd:1,602374775306120E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,705660477502770E+01  -->  sd:1,359056015904180E+01
P = 10;   s =  4;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,785729184520470E+01  -->  sd:1,622133485621320E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,992018264470290E+01  -->  sd:1,646818716792170E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,081412561658100E+01  -->  sd:1,369434683663690E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:  100000  -->  fx: 6,114049427185480E+01  -->  sd:1,463651493430280E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,136880479744870E+01  -->  sd:1,550023584575920E+01
P =  5;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,139568242297990E+01  -->  sd:1,532861333781070E+01
P =  5;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,156975576016740E+01  -->  sd:1,412590725642980E+01
P =  5;   s =  4;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,170847980644280E+01  -->  sd:1,524967054141850E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,171093570102800E+01  -->  sd:1,657660342304720E+01
P =  5;   s =  4;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,215064005012860E+01  -->  sd:1,508085732636180E+01
P = 10;   s =  4;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,220531742353520E+01  -->  sd:1,619335732941810E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,286289943726400E+01  -->  sd:1,499794129049450E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,292672399201940E+01  -->  sd:2,000850702385830E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,344707181856410E+01  -->  sd:1,536832485508380E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,348563530392890E+01  -->  sd:1,850418704945830E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,388844087994280E+01  -->  sd:1,453624582443700E+01
P =  5;   s =  4;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,392639351127440E+01  -->  sd:1,696808217606010E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,405566266591100E+01  -->  sd:1,714120750845320E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,407755044040320E+01  -->  sd:1,985621025468230E+01
P = 10;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,452211671541450E+01  -->  sd:2,967418681409730E+01
P = 10;   s =  4;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,455198303087520E+01  -->  sd:1,529180527617080E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 6,494025358817190E+01  -->  sd:2,070280426752650E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,543195534188250E+01  -->  sd:1,090052404420790E+01
P = 10;   s =  4;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,585154915750450E+01  -->  sd:1,605794682140660E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,634269244117720E+01  -->  sd:1,706371893814960E+01
