


============================================================================
============================================================================
TUNING GEO REAL2 O DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:    4220  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:    4243  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:    4556  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:    4583  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:    4903  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:    5176  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:    5523  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:    5686  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:    5713  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:    5993  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:    6063  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:    6226  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:    6413  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:    6483  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:    6510  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:    6603  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:    7416  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
