




============================================================================
Função: Griewangk
============================================================================
P = 16;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 9,051574814403240E+01  -->  sd:2,105589722409020E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 1,040557804635950E+02  -->  sd:2,291249763250220E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,067651375003690E+02  -->  sd:2,963141482322380E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 1,086406612142710E+02  -->  sd:2,836231623566240E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 1,155946563848510E+02  -->  sd:2,665749896630030E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 1,231870925937150E+02  -->  sd:3,093900229914400E+01
P = 16;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 1,336240534595920E+02  -->  sd:3,107758424699800E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 1,601559529418410E+02  -->  sd:3,538422551900360E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,602367472722320E+02  -->  sd:3,422961312265280E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 1,688100570446430E+02  -->  sd:3,667130295736730E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 2,060279947708690E+02  -->  sd:4,015243430202550E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 2,111319026867740E+02  -->  sd:4,147997260904810E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 2,409657741709860E+02  -->  sd:4,550583194055680E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 2,654142189408670E+02  -->  sd:4,680741118111730E+01





============================================================================
Função: Rastringin
============================================================================
P = 16;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   34279  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   41364  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
