




============================================================================
Função: Griewangk
============================================================================
P = 16;   s =  2;   std1 =  4,00;   tau =  1,00  -->  NFE:   47289  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   63785  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  8,00;   tau =  3,50  -->  NFE:   29068  -->  fx: 2,491948314364830E-11  -->  sd:1,318615103967190E-10
P = 16;   s =  1;   std1 =  4,00;   tau =  1,00  -->  NFE:   52826  -->  fx: 4,691925023106840E-10  -->  sd:2,482732594719030E-09
P = 16;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:   40642  -->  fx: 1,670538331128930E-05  -->  sd:8,839657959536010E-05
P = 16;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:   26870  -->  fx: 2,359599098282680E-05  -->  sd:1,248582481573650E-04
P = 16;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:   72249  -->  fx: 7,564720126783980E-05  -->  sd:3,999618603382390E-04
P =  8;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:   26525  -->  fx: 2,641443181409240E-04  -->  sd:1,397720352063230E-03
P =  8;   s =  2;   std1 =  4,00;   tau =  3,00  -->  NFE:   32348  -->  fx: 3,520458790639950E-04  -->  sd:1,862851692176900E-03
P = 16;   s =  2;   std1 =  8,00;   tau =  1,50  -->  NFE:   57880  -->  fx: 3,731541706266500E-04  -->  sd:1,431193594204900E-03
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   18087  -->  fx: 4,400708618538930E-04  -->  sd:2,328636119422520E-03
P =  8;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:   33008  -->  fx: 7,034770006635720E-04  -->  sd:3,722450393618860E-03
P = 16;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:   79684  -->  fx: 9,481532406247140E-04  -->  sd:4,426310916407400E-03
P =  8;   s =  2;   std1 =  8,00;   tau =  1,50  -->  NFE:   42968  -->  fx: 9,507966157450220E-04  -->  sd:5,031142785324660E-03
P =  4;   s =  2;   std1 =  8,00;   tau =  3,00  -->  NFE:   25801  -->  fx: 9,702207787887650E-04  -->  sd:5,133925795004970E-03
P =  8;   s =  2;   std1 =  4,00;   tau =  1,00  -->  NFE:   52017  -->  fx: 1,030276094914010E-03  -->  sd:5,451661188682280E-03
P =  4;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:   42879  -->  fx: 1,037636805154360E-03  -->  sd:5,339609421259340E-03
P =  8;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:   35406  -->  fx: 1,052897366161390E-03  -->  sd:5,571409173875890E-03
P = 16;   s =  1;   std1 =  8,00;   tau =  2,00  -->  NFE:   40291  -->  fx: 1,229048674898620E-03  -->  sd:6,503514285950430E-03
P = 16;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:   37818  -->  fx: 1,229310284029950E-03  -->  sd:6,504898591354830E-03
P =  8;   s =  1;   std1 =  4,00;   tau =  3,50  -->  NFE:   36980  -->  fx: 1,407666409051480E-03  -->  sd:5,210474887244950E-03
P =  4;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:   43154  -->  fx: 1,518263785150110E-03  -->  sd:8,033896800205590E-03
P = 16;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:   42516  -->  fx: 2,019728466176480E-03  -->  sd:7,482690914954010E-03
P =  8;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   48832  -->  fx: 2,197545220431130E-03  -->  sd:6,807796767676290E-03
P = 16;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:   55454  -->  fx: 2,898394209958710E-03  -->  sd:9,223723854688590E-03
P = 16;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:   45161  -->  fx: 3,686271574599380E-03  -->  sd:1,157235885427110E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  2,00  -->  NFE:   42556  -->  fx: 3,862073324074370E-03  -->  sd:1,147719538680480E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:   39476  -->  fx: 4,070159947506940E-03  -->  sd:1,202661765248710E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:   55850  -->  fx: 4,741794886926290E-03  -->  sd:1,068283350874740E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  3,50  -->  NFE:   55726  -->  fx: 5,357370638783710E-03  -->  sd:1,153057492000190E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  4,00  -->  NFE:   51748  -->  fx: 5,622214139694420E-03  -->  sd:1,117846598935260E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  3,50  -->  NFE:   50707  -->  fx: 6,151550621544510E-03  -->  sd:9,457307563187290E-03
P = 16;   s =  1;   std1 =  4,00;   tau =  2,50  -->  NFE:   66982  -->  fx: 6,235692392596870E-03  -->  sd:1,165379073720580E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   55928  -->  fx: 6,324464063718760E-03  -->  sd:1,192264176863520E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   58283  -->  fx: 6,587294412172700E-03  -->  sd:1,139709620117740E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:   53724  -->  fx: 6,767129672664550E-03  -->  sd:1,127534879203010E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  2,50  -->  NFE:   61767  -->  fx: 7,224257591411450E-03  -->  sd:1,394345089773580E-02
P =  8;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:   45739  -->  fx: 7,464472555814830E-03  -->  sd:1,400929507265910E-02
P =  8;   s =  1;   std1 =  4,00;   tau =  4,00  -->  NFE:   56998  -->  fx: 8,167993801690370E-03  -->  sd:1,411627705043020E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:   76700  -->  fx: 9,049976627030210E-03  -->  sd:1,503863493264650E-02
P =  8;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:   47273  -->  fx: 9,484556085787220E-03  -->  sd:1,723600927535920E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:   69495  -->  fx: 9,838353529043970E-03  -->  sd:1,360915850986620E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:   65378  -->  fx: 1,001362929990120E-02  -->  sd:1,554715211188590E-02
P =  8;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:   66183  -->  fx: 1,098090115557160E-02  -->  sd:1,504242595186050E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  4,00  -->  NFE:   71865  -->  fx: 1,133486884531360E-02  -->  sd:1,231442387112260E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:   58145  -->  fx: 1,273682998192460E-02  -->  sd:1,925338164190420E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:   68955  -->  fx: 1,352814138463330E-02  -->  sd:1,872445380822350E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  4,00  -->  NFE:   69328  -->  fx: 1,414335016945220E-02  -->  sd:1,696277515473970E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  3,00  -->  NFE:   78339  -->  fx: 1,443264489147510E-02  -->  sd:1,533764367337860E-02
P =  8;   s =  1;   std1 =  4,00;   tau =  4,50  -->  NFE:   69415  -->  fx: 1,458395281299030E-02  -->  sd:2,046380806001230E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:   70185  -->  fx: 1,471334692362580E-02  -->  sd:1,700936668743180E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  4,50  -->  NFE:   73395  -->  fx: 1,545760635254650E-02  -->  sd:1,453198804488990E-02
P = 16;   s =  2;   std1 =  4,00;   tau =  2,50  -->  NFE:   79149  -->  fx: 1,615738424434160E-02  -->  sd:2,008395506530320E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   80758  -->  fx: 1,651827213885670E-02  -->  sd:1,329873352596590E-02
P =  8;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:   69198  -->  fx: 1,659986639593390E-02  -->  sd:2,104531831842780E-02
P = 16;   s =  1;   std1 =  4,00;   tau =  3,00  -->  NFE:   80075  -->  fx: 1,692997188015930E-02  -->  sd:1,724859868589930E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   80179  -->  fx: 1,774189642410800E-02  -->  sd:1,659565169544140E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  5,00  -->  NFE:   76155  -->  fx: 1,791970603646380E-02  -->  sd:1,468672239880860E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  4,50  -->  NFE:   80086  -->  fx: 1,792942614289250E-02  -->  sd:1,941475980696400E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:   60048  -->  fx: 1,809708858364720E-02  -->  sd:2,082082312983260E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   71793  -->  fx: 1,897610603581880E-02  -->  sd:2,179690973561780E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   74204  -->  fx: 1,924209526547580E-02  -->  sd:1,829669610001320E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:   77781  -->  fx: 2,028754579367690E-02  -->  sd:1,795371007304040E-02
P = 16;   s =  2;   std1 =  4,00;   tau =  3,00  -->  NFE:   89954  -->  fx: 2,029244405663490E-02  -->  sd:1,596866187652280E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   79233  -->  fx: 2,160589264357290E-02  -->  sd:1,907692770122240E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:   79167  -->  fx: 2,172151533348720E-02  -->  sd:2,207233150709230E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  5,00  -->  NFE:   82756  -->  fx: 2,231087057301690E-02  -->  sd:1,688952500056830E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  4,50  -->  NFE:   88788  -->  fx: 2,248448250449010E-02  -->  sd:2,245393577382230E-02
P =  8;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:   82939  -->  fx: 2,309658210111580E-02  -->  sd:1,926030330922630E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:   68286  -->  fx: 2,310503177715070E-02  -->  sd:2,095762232088990E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:   86647  -->  fx: 2,319608841118710E-02  -->  sd:1,550075804994910E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:   73319  -->  fx: 2,336314730892620E-02  -->  sd:2,457829071252020E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:   83261  -->  fx: 2,389151725358840E-02  -->  sd:1,804894479242550E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:   83992  -->  fx: 2,397513341799950E-02  -->  sd:1,664583257089770E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   84825  -->  fx: 2,441576974472410E-02  -->  sd:1,702831829753620E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:   83899  -->  fx: 2,442387299675010E-02  -->  sd:1,905575096647160E-02
P =  8;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:   79247  -->  fx: 2,450332364146550E-02  -->  sd:1,917394485247810E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:   80219  -->  fx: 2,503642086039730E-02  -->  sd:1,842361795777310E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  5,00  -->  NFE:   82288  -->  fx: 2,521056967961680E-02  -->  sd:2,166763319951790E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   87084  -->  fx: 2,547007442956170E-02  -->  sd:1,887220382910420E-02
P =  4;   s =  1;   std1 =  8,00;   tau =  5,00  -->  NFE:   67599  -->  fx: 2,609127878041700E-02  -->  sd:4,821783827883830E-02
