




============================================================================
Função: Griewangk
============================================================================
P = 12;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:   93018  -->  fx: 9,135549459772720E-15  -->  sd:6,372078181343470E-15
P = 12;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:   98492  -->  fx: 4,336848340764330E-13  -->  sd:1,136454611674680E-12
P = 12;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 3,064545442807030E-11  -->  sd:6,553815823642610E-11
P = 12;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 8,251408250004030E-07  -->  sd:4,070538157139670E-06
P = 12;   s = 10;   porc = 50,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 3,719174180690950E-05  -->  sd:1,538204929786910E-04
P = 12;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,994072669146120E-05  -->  sd:6,077246902423810E-06
P = 12;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 4,218081901820520E-05  -->  sd:9,193075638821430E-06
P = 12;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 4,503611517568470E-05  -->  sd:8,945966114416920E-06
P = 12;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 5,567449982889020E-05  -->  sd:1,346976023579060E-05
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 7,889540220164450E-05  -->  sd:2,019354567771080E-05
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 2,255254114325670E-04  -->  sd:9,235196677393270E-05
P = 12;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 9,302684344846110E-04  -->  sd:2,293219739870540E-04
P = 12;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 1,049293341779390E-03  -->  sd:1,695686484770650E-04
P = 12;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 1,163512815746460E-03  -->  sd:2,169850196928060E-04
P = 12;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 1,359106172080160E-03  -->  sd:2,553800369465760E-04
P =  4;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,615952787166260E-03  -->  sd:2,694621911268970E-04
P =  4;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 2,098433595437300E-03  -->  sd:3,778725427434180E-04
