




=======================================================
Tuning: 1
=======================================================





============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,408046069468860E+02  -->  sd:3,217932905837650E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,530090674626820E+02  -->  sd:3,403934298812400E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,589245178946940E+02  -->  sd:3,549580563558180E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,692885782892800E+02  -->  sd:3,621078932088400E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,728479280935200E+02  -->  sd:3,612883726287370E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,831775799455810E+02  -->  sd:3,718720229667970E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,136224395073160E+02  -->  sd:4,221814114544320E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,238650691486640E+02  -->  sd:4,303159026028810E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,395930687793610E+02  -->  sd:4,556296843818920E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,640354325678810E+02  -->  sd:4,603564150850140E+01





============================================================================
Função: Rastringin
============================================================================
P = 12;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   36366  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:   32871  -->  fx: 2,537652627714640E-16  -->  sd:1,342799553360500E-15
P = 12;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:   48373  -->  fx: 2,537652627714640E-16  -->  sd:1,342799553360500E-15
P = 12;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   49276  -->  fx: 2,537652627714640E-16  -->  sd:1,342799553360500E-15
P = 12;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:   62333  -->  fx: 5,075305255429290E-16  -->  sd:1,863506782885910E-15
P = 12;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:   70304  -->  fx: 1,522591576628790E-15  -->  sd:2,969041524769070E-15
P = 12;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   72757  -->  fx: 2,791417890486110E-15  -->  sd:3,533866258418340E-15
P = 12;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:   71595  -->  fx: 4,567774729886360E-15  -->  sd:8,023573272152000E-15
P = 12;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:   91658  -->  fx: 4,821539992657820E-15  -->  sd:4,347329155644550E-15
P = 12;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:   97649  -->  fx: 6,953168199938120E-14  -->  sd:1,946608270385830E-13
P = 12;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   98458  -->  fx: 9,947598300641400E-14  -->  sd:3,266665365592580E-13
P = 12;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 9,972974826918550E-14  -->  sd:1,594282979561410E-13
P = 12;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,664370394419950E-13  -->  sd:7,367517116828640E-14
P = 12;   s =  1;   std1 =  0,50;   tau =  4,50  -->  NFE:  100016  -->  fx: 5,090531171195570E-13  -->  sd:1,684363696962860E-13
P = 12;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:  100016  -->  fx: 1,448238354636750E-12  -->  sd:1,046685973246710E-12
P = 12;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 1,507619426125270E-12  -->  sd:3,563909642412930E-13
P = 12;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 1,884460841340890E-12  -->  sd:5,351300357109290E-13
P = 12;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 4,807582903205390E-12  -->  sd:2,566786274578590E-12
P = 12;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 5,337698537134980E-12  -->  sd:1,155307038583270E-12
P = 12;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 8,208291189605790E-12  -->  sd:2,682371314870330E-12
P = 12;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:  100016  -->  fx: 1,713093159391320E-11  -->  sd:2,010210830426790E-11
P = 12;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 2,797508256792620E-11  -->  sd:4,230627531859260E-11
P = 12;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 7,871976086854760E-11  -->  sd:1,369564971414490E-10
P = 12;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 8,650071135564630E-11  -->  sd:2,024576664752930E-10
P = 12;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 2,607567495260810E-10  -->  sd:2,933295292555310E-10
P = 12;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100016  -->  fx: 2,633999685031090E-10  -->  sd:7,194007766790670E-10
P = 12;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 9,642676498547840E-10  -->  sd:2,128094829051730E-09
P = 12;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:  100016  -->  fx: 6,302798283286390E-09  -->  sd:1,203456144811810E-08
P = 12;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,002011553095730E-08  -->  sd:2,564019788368410E-08
P = 12;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 3,231806441509170E-08  -->  sd:3,606154244817960E-08
P = 12;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 4,650960444710760E-07  -->  sd:6,655661937240250E-07
P = 12;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 4,255817533811120E-06  -->  sd:1,378757373368030E-05
P = 12;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:  100016  -->  fx: 5,461814849537310E-06  -->  sd:8,646614803358010E-06
P = 12;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 9,852634802496950E-06  -->  sd:1,406278536783390E-05
P = 12;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 4,278493199626000E-05  -->  sd:7,979814262773550E-05
P = 12;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100016  -->  fx: 8,035449977834880E-04  -->  sd:3,338192438786490E-03
P = 12;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 6,433459909670960E-03  -->  sd:5,674359854196780E-03
P = 12;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 1,845837128568870E-02  -->  sd:6,203046475440990E-02
P = 12;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 2,149185431652310E-02  -->  sd:6,606981448800000E-02
P = 12;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:  100016  -->  fx: 3,758774875387470E-02  -->  sd:1,350148993125970E-01
P = 12;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 6,809883128899810E-02  -->  sd:1,284264752415830E-01
P =  4;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:  100036  -->  fx: 7,564834190415170E-02  -->  sd:1,239607289178500E-02
P =  4;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:  100036  -->  fx: 9,748560129244230E-02  -->  sd:1,921192002957170E-02
P =  4;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,353380077049180E-01  -->  sd:4,093771689860180E-02
P = 12;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100016  -->  fx: 2,809009433300190E-01  -->  sd:4,186995568008780E-01
P =  4;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:  100036  -->  fx: 3,065334275123810E-01  -->  sd:1,434938470117480E-01
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 3,233582494942210E-01  -->  sd:5,991118666450830E-02
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 3,798401847140670E-01  -->  sd:7,951142274436370E-02
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 5,863630156206650E-01  -->  sd:1,246629273640430E-01
P =  4;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100036  -->  fx: 9,458992992825040E-01  -->  sd:5,537424369897010E-01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 9,820927234347930E-01  -->  sd:2,603835940198580E-01
P = 12;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,212154943522880E+00  -->  sd:7,678967642748670E-01
P = 12;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,399306301036510E+00  -->  sd:6,889847998583000E-01
P =  4;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,594585141338810E+00  -->  sd:3,419680277735370E-01
P = 12;   s =  1;   std1 =  0,50;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,626008808124620E+00  -->  sd:8,504156508077700E-01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,897226461979060E+00  -->  sd:4,950841733978480E-01
P =  4;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,986377524739290E+00  -->  sd:4,086441925479560E-01
P = 12;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 2,224289122161450E+00  -->  sd:9,884190412057020E-01
P =  4;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:  100036  -->  fx: 2,407960983906200E+00  -->  sd:5,606109665651300E-01
