




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   porc =  5,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,108860889679270E-01  -->  sd:8,801991254236950E-02
P =  4;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 6,109287560876600E-01  -->  sd:5,140305043980720E-01
P =  4;   s = 10;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 6,141031351377310E-01  -->  sd:1,018889830553450E-01
P =  4;   s =  2;   porc =  5,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,517338723187490E-01  -->  sd:8,000808151474800E-02
P = 12;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 6,950369906400980E-01  -->  sd:1,518181112046770E-01
P =  4;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 7,057533898941550E-01  -->  sd:1,155061124846700E-01
P =  4;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 7,361943668714270E-01  -->  sd:9,303646708055170E-02
P =  4;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 7,559193064839460E-01  -->  sd:6,722182198142140E-02
P =  4;   s =  2;   porc =  5,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,564673281819130E-01  -->  sd:1,268254174354090E-01
P =  4;   s = 10;   porc =  5,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 7,574027070766480E-01  -->  sd:1,467232229276800E-01
P = 12;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 7,626348837733500E-01  -->  sd:1,809795599108500E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 7,648288445083890E-01  -->  sd:9,546986491580310E-02
P =  4;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 8,041465986272210E-01  -->  sd:1,045585686413010E-01
P =  4;   s = 10;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,164959720966650E-01  -->  sd:1,114245564714790E-01
P = 12;   s = 10;   porc = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 8,457522171439150E-01  -->  sd:1,953910107918020E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 9,113203317556100E-01  -->  sd:1,051963851381300E-01
P =  4;   s =  2;   porc =  5,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,138363174303540E-01  -->  sd:1,072557345771300E-01
P =  4;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,193315871971120E-01  -->  sd:1,439078171118270E-01
P =  4;   s = 10;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,951785472569770E-01  -->  sd:1,089104573798230E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 9,979239488545470E-01  -->  sd:1,047022124143430E-01
P =  4;   s = 10;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,013452075543560E+00  -->  sd:1,354605442988280E-01
P =  4;   s = 10;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,091952502310350E+00  -->  sd:9,713885479105880E-02
P =  4;   s = 10;   porc =  5,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,126537850309050E+00  -->  sd:9,294342376467870E-02
P =  4;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,159689069417020E+00  -->  sd:5,601112889824600E-02
P =  4;   s =  2;   porc =  5,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,185686389372770E+00  -->  sd:8,070812987470540E-02
P = 12;   s =  2;   porc =  5,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,237780325332490E+00  -->  sd:1,644790480404420E-01
P = 12;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,243288670375090E+00  -->  sd:1,649729286448380E-01
P = 12;   s = 10;   porc = 50,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,539802651748930E+00  -->  sd:3,606230135641630E-01
P =  4;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,548306716466480E+00  -->  sd:1,561237892512870E-01
P =  4;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,567642059504840E+00  -->  sd:1,710683877491880E-01
P = 12;   s = 10;   porc =  5,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,595609993818910E+00  -->  sd:4,245775196992250E-01
P =  4;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,603346850730980E+00  -->  sd:1,842655178202080E-01
P =  4;   s = 10;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,626560554664810E+00  -->  sd:3,198209170535430E-01
P =  4;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,637954550867270E+00  -->  sd:2,619164830296680E-01
P =  4;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,726054367542910E+00  -->  sd:2,759826284979690E-01
P =  4;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,930832579315390E+00  -->  sd:2,643785851010830E-01
P = 12;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,947565539017750E+00  -->  sd:5,217821059301410E-01
P =  4;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,136859427495450E+00  -->  sd:2,095149850146430E-01
P =  4;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,397577122615300E+00  -->  sd:1,940209595692060E+00
P =  4;   s = 10;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,398196426598320E+00  -->  sd:7,645921921245740E-01
P =  4;   s = 10;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,470267890857970E+00  -->  sd:1,906393987272540E+00
