




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 9,776831274631780E+01  -->  sd:2,845422802380920E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:  100068  -->  fx: 9,841832270690860E+01  -->  sd:2,131025494557410E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:  100068  -->  fx: 1,014516371797290E+02  -->  sd:2,085068605411660E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:  100068  -->  fx: 1,039285586386890E+02  -->  sd:2,285064199600950E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,097903421576130E+02  -->  sd:2,288642603285690E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,112331678355710E+02  -->  sd:2,772248004077370E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,198816251827930E+02  -->  sd:2,610223950262740E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,216964747555280E+02  -->  sd:2,834085862781840E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100068  -->  fx: 1,389505714672750E+02  -->  sd:3,008312775195050E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,421819049243600E+02  -->  sd:3,158619262420880E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,566122361467460E+02  -->  sd:3,635999493307780E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,614356291143990E+02  -->  sd:3,557400403025940E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,700457572533820E+02  -->  sd:3,580415861494150E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,724964536186210E+02  -->  sd:3,543094566508910E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,852627862701420E+02  -->  sd:3,852532272652750E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,130973194130080E+02  -->  sd:4,178349420666790E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,234470716865650E+02  -->  sd:4,226949568862470E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,408527977895290E+02  -->  sd:4,539870976137150E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,627690032398380E+02  -->  sd:4,616683951438070E+01





============================================================================
Função: Rastringin
============================================================================
P = 12;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   34713  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:   36271  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   43140  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:   45283  -->  fx: 2,537652627714640E-16  -->  sd:1,342799553360510E-15
P = 12;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:   70588  -->  fx: 1,776356839400250E-15  -->  sd:3,133198957841180E-15
P = 12;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:   74908  -->  fx: 1,776356839400250E-15  -->  sd:3,133198957841180E-15
P = 12;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:   76406  -->  fx: 2,791417890486110E-15  -->  sd:4,028398660081510E-15
P = 12;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   80727  -->  fx: 3,806478941571970E-15  -->  sd:4,527917380131790E-15
P = 12;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:   81149  -->  fx: 3,806478941571970E-15  -->  sd:5,632174615348510E-15
P = 12;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   95350  -->  fx: 3,907985046680550E-14  -->  sd:5,308415980056300E-14
P = 12;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:   98544  -->  fx: 8,298124092626880E-14  -->  sd:2,040929347964110E-13
P = 12;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 8,653395460506930E-14  -->  sd:1,513609046373340E-13
P = 12;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,623767952376510E-13  -->  sd:9,757813634148010E-14
P = 12;   s =  1;   std1 =  0,50;   tau =  4,50  -->  NFE:  100016  -->  fx: 5,440727233820200E-13  -->  sd:1,518588728830340E-13
P = 12;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:  100016  -->  fx: 1,236851890748120E-12  -->  sd:6,102734672834000E-13
P = 12;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 1,554312234475220E-12  -->  sd:3,386319920233470E-13
P = 12;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 2,004491810631800E-12  -->  sd:5,831273301086560E-13
P = 12;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 4,888787787292260E-12  -->  sd:2,427664559568520E-12
P = 12;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 5,856140968977080E-12  -->  sd:1,201848497950780E-12
P = 12;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 7,610420230516220E-12  -->  sd:1,604370286332510E-12
P = 12;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:  100016  -->  fx: 1,373479108224270E-11  -->  sd:1,550359238327900E-11
P = 12;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 1,879157147348970E-11  -->  sd:9,153466942726200E-12
P = 12;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 4,678873161927710E-11  -->  sd:4,599729663861740E-11
P = 12;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,715841437187140E-10  -->  sd:3,481157179311370E-10
P = 12;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 2,443845760678540E-10  -->  sd:3,329832654981260E-10
P = 12;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 3,225983290024360E-10  -->  sd:5,198089616355920E-10
P = 12;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:  100016  -->  fx: 7,483297537191900E-09  -->  sd:1,477873018504120E-08
P = 12;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,108837466290420E-08  -->  sd:2,681693217710410E-08
P = 12;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 3,397324681892700E-08  -->  sd:5,067075507739900E-08
P = 12;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,007640147828880E-06  -->  sd:2,353048016517210E-06
P = 12;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 4,234786997514560E-06  -->  sd:1,242228457543850E-05
P = 12;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,147226638969250E-05  -->  sd:4,119397476580940E-05
P = 12;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,279791167009750E-05  -->  sd:3,298658643731990E-05
P = 12;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,863014943762460E-05  -->  sd:8,440600612257540E-05
P = 12;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 5,050496878463860E-05  -->  sd:6,636536830200730E-05
P = 12;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 3,241293704421720E-03  -->  sd:4,162882283722050E-03
P = 12;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 6,118431254820020E-03  -->  sd:8,231744162950950E-03
P = 12;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:  100016  -->  fx: 4,028713280464330E-02  -->  sd:1,167806467129620E-01
P = 12;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 5,200408886711830E-02  -->  sd:1,435092730048030E-01
P = 12;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100016  -->  fx: 7,024133664695550E-02  -->  sd:2,579060750499070E-01
P = 12;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 7,395692083219610E-02  -->  sd:1,084925935918660E-01
P =  4;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:  100036  -->  fx: 8,040750298122770E-02  -->  sd:1,326532268393100E-02
P =  4;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:  100036  -->  fx: 9,713451713191270E-02  -->  sd:2,517564816924810E-02
P =  4;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,355140033238430E-01  -->  sd:4,245732321874140E-02
P = 12;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100016  -->  fx: 2,179697433668170E-01  -->  sd:4,890223405322200E-01
P =  4;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:  100036  -->  fx: 3,025326026917600E-01  -->  sd:1,930136347362220E-01
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 3,136369366915550E-01  -->  sd:7,888098186156210E-02
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 3,940117686510150E-01  -->  sd:7,613421151117280E-02
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 5,552211591978570E-01  -->  sd:1,037113581374590E-01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 9,343281149219060E-01  -->  sd:2,609724670516090E-01
P =  4;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,054820436882380E+00  -->  sd:5,807528437659700E-01
P = 12;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,341655577658790E+00  -->  sd:6,443581850955610E-01
P = 12;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,401215313980630E+00  -->  sd:7,300010378118620E-01
P = 12;   s =  1;   std1 =  0,50;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,437879858593570E+00  -->  sd:8,678417360146530E-01
P =  4;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,566034066843110E+00  -->  sd:3,220280893009890E-01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 2,048294717110020E+00  -->  sd:5,194517310909100E-01
P =  4;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 2,075035819689730E+00  -->  sd:3,832786393021620E-01
