




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,045934311231620E+01  -->  sd:7,386474535907500E+00
P =  4;   s =  1;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,114909171756060E+01  -->  sd:9,342451626711780E+00
P =  4;   s =  1;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,624126431070420E+01  -->  sd:7,240776297125280E+00
P = 12;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,734370730916800E+01  -->  sd:1,444758229184520E+01
P =  4;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,018323502276540E+01  -->  sd:1,013110752773400E+01
P = 12;   s =  1;   porc =  0,10;   tau =  1,50  -->  NFE:  100068  -->  fx: 3,354283916107770E+01  -->  sd:8,765081731032770E+00
P =  4;   s =  1;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 3,369940761384190E+01  -->  sd:9,715114875070180E+00
P = 12;   s =  1;   porc =  0,10;   tau =  2,00  -->  NFE:  100068  -->  fx: 3,609610235821480E+01  -->  sd:1,142709877043120E+01
P = 12;   s =  1;   porc = 50,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 3,722624374307670E+01  -->  sd:1,719717775166250E+01
P =  4;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,763427105833170E+01  -->  sd:1,373461542106170E+01
P =  4;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,166664609527530E+01  -->  sd:1,431860039887250E+01
P =  4;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 4,536272431217630E+01  -->  sd:1,535509390761330E+01
P = 12;   s =  1;   porc =  0,10;   tau =  2,50  -->  NFE:  100068  -->  fx: 4,587407580804200E+01  -->  sd:1,194431972302370E+01
P = 12;   s =  1;   porc =  0,10;   tau =  3,00  -->  NFE:  100068  -->  fx: 5,497415365314860E+01  -->  sd:1,695395845480650E+01
P = 12;   s =  1;   porc =  0,10;   tau =  3,50  -->  NFE:  100068  -->  fx: 5,595174495731430E+01  -->  sd:1,534173104663230E+01
P = 12;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100068  -->  fx: 5,617293314508790E+01  -->  sd:1,467991461775670E+01
P = 12;   s =  1;   porc =  0,10;   tau =  4,50  -->  NFE:  100068  -->  fx: 5,654141974047960E+01  -->  sd:1,492005835492810E+01
P = 12;   s =  1;   porc =  0,10;   tau =  4,00  -->  NFE:  100068  -->  fx: 5,662409439082090E+01  -->  sd:1,775754173182210E+01
P = 12;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100068  -->  fx: 5,711570660745870E+01  -->  sd:1,958001030546850E+01
P = 12;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100068  -->  fx: 6,064734666523640E+01  -->  sd:1,550339829210760E+01
P = 12;   s =  1;   porc =  0,10;   tau =  1,00  -->  NFE:  100068  -->  fx: 6,167772638156130E+01  -->  sd:1,812940877359640E+01
