


=======================================================
Tuning: 3
=======================================================





============================================================================
Função: Griewangk
============================================================================
P =  4;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,583469197425850E-01  -->  sd:1,529515586935390E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,803635220633730E-01  -->  sd:4,841670315369010E-02
P = 12;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 2,636890259940700E-01  -->  sd:3,259131316827960E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 2,645157924807640E-01  -->  sd:8,391935208652710E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 2,820879724269970E-01  -->  sd:4,945565060788340E-01
P = 12;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 4,591147065075740E-01  -->  sd:6,193725377263110E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 7,221463620536600E-01  -->  sd:3,212116669677280E-01
P = 12;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 7,847179978908640E-01  -->  sd:5,589406285533930E-01
P =  4;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 9,359244779561890E-01  -->  sd:5,849194525346510E-01
P =  4;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 1,257366839966590E+00  -->  sd:6,615946518403620E-01
P = 12;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,315905237337290E+00  -->  sd:8,030832783916300E-01
P = 12;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,433372273537350E+00  -->  sd:6,490095711963270E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 1,953343680584580E+00  -->  sd:4,930421178984630E-01
P =  4;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 2,926090002125440E+00  -->  sd:9,070665506596700E-01
P = 12;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 3,802961896675000E+00  -->  sd:1,367539186842620E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 4,383963365774160E+00  -->  sd:6,768744471326790E-01
